w,,,,,,
Category,Sub-Category,Material,Question,Choices,Correct Answer,Explanation
Optics (Geometrical),Ametropia,"Thin prisms, Resolution of oblique prisms into horizontal and vertical components",You are examining a patient that requires spectacles with 3 PD base-up prism over the right eye and a 4 PD base-in prism over the left eye. What prism power can you place to correct this patient's ocular misalignment?,3.5 PD base-up and out over the right eye; 3.5 PD base down and in over the left eye; 5 PD base-down and -in over the left eye; 5 PD base-up and -in over the right eye,5 PD base-down and in over the left eye,"A patient requiring 3 PD base-up over the right eye and 4 PD base-in over the left eye is equivalent to needing 3 PD base-down and 4 PD base-in over the left eye. The power of the single prism over the left eye can be deduced from the Pythagorean theorem: a^2 + b^2 = c^2 (where ""a"" and ""b"" are the sides of the right triangle and ""c"" is the hypotenuse). 

c = square root (a^2 + b^2)

 c = square root (4^2 + 3^2) c = square root (16 + 9) c = square root (25) c = 5 

Thus, the correct answer is a 5 PD base-down and -in prism over the left eye."
Optics (Geometrical),Ametropia,Ophthalmic and optical instruments,A patient is a -10 D myope. An examiner holds a direct ophthalmoscope 2 cm from the patient's eye. What lens power should be dialed into the direct ophthalmoscope to allow inspection of the retina for an emmetropic examiner?,-12.5 D; -8 D; 10.5 D; 8 D,-12.5 D,"For a myopic patient, light rays leaving the patient's eye are convergent. These convergent light rays form a real image that is 1/10 = 0.10 m (10 cm) in front of the patient's eye. The vergence of the light rays entering the ophthalmoscope in this example is: = 1 / (0.10-0.02) = 1 / 0.08 = +12.5D

To create zero vergence light that can be viewed by the emmetropic examiner, the lens in the direct ophthalmoscope must have a power of -12.5 diopters."
Optics (Geometrical),Ametropia,"Thick lenses, Vertex power and equivalent power","You are given a crown glass lens {n = 1.523) and told that the front surface power is +15 D, back surface power is -6.00 D, central thickness is 6.5 mm, what power will the wearer see?",+9.25 D; +9.50 D; +10.00 D; +10.50 D,+10.00 D,"The back vertex power is the power that the patient perceives and is also the value measured by a lensmeter when checking the power of glasses. To calculate the back vertex power, use the following formula: 

Dbv = D1 / (1 - D1(t/n)) + D2 Where:
Dbv is the back vertex power
D1 is the front surface power of the lens
D2 is the back surface power of the lens
t is the central thickness of the lens in meters
n is the refractive index of the lens material

Given:
Front surface power (D1) = +15.00 D
Back surface power (D2) = -6.00 D
Central thickness (t) = 6.5 mm = 0.0065 m
Refractive index of crown glass (n) = 1.523

Step 1: Substitute the given values into the formula.
Dbv = +15.00 / (1 - 15.00(0.0065/1.523)) + (-6.00) 

Step 2: Simplify the expression inside the parentheses.
Dbv = +15.00 / (1 - 15.00(0.00426789)) + (-6.00)
Dbv = +15.00 / (1 - 0.064018) + (-6.00) 

Step 3: Calculate the denominator.
Dbv = +15.00 / (0.935982) + (-6.00) 

Step 4: Divide the front surface power by the result from step 3 and add the back surface power.
Dbv = +16.02 + (-6.00)
Dbv = +10.02 D 

Therefore, the wearer will perceive a power of approximately +10.00 D when looking through the lens."
Optics (Physical),Ametropia,"Interaction of light and matter, Fluorescence (photons / energy levels)",A material with fluorescent properties absorbs light at a wavelength of 530 nm. What are some possible wavelengths of light emitted by this fluorescent material? (Select 2),500 nm; 515 nm; 530 nm; 555 nm; 565 nm,"555 nm, 565 nm","When a material has fluorescent properties, it absorbs light at a certain wavelength and emits light at a lower energy level. 

For example, fluorescein strips used in eye exams absorb blue light and emit green light. In this case, a material absorbs light at a wavelength of 530 nm. To exhibit fluorescence, the emitted light must have a lower energy level than the absorbed light, which means it has a longer wavelength. 

555 nm and 565 nm are longer than the absorbed light's wavelength of 530 nm, making them possible wavelengths of light emitted by the fluorescent material."
Optics (Geometrical),Ametropia,"Thin Lenses, Prismatic Effect (Prentice's rule and prism effectivity)",A patient presents complaining about vertical diplopia. His spectacles are read as -15 D for both lenses. You measure a 3 prism diopter right hypertropia. Which of the following options could correct his vertical diplopia?,Move the optical center down by 2 mm for the right lens; Move the optical center up by 2 mm for the left lens; Move the optical center down by 1 mm for the right lens and up by 1 mm for the left lens; Move the optical center up by 1 mm for the right lens and down by 1 mm for the left lens,Move the optical center up by 1 mm for the right lens and down by 1 mm for the left lens,"According to Prentice's rule, the induced prism is equal to the distance from the optical center in centimeters multiplied by the power of the lens in diopters. 

So, PD = h * F, where PD is 3 prism diopters, and F is -15 

We can rearrange this equation to solve for h, which represents the distance from the optical center in centimeters: 

h = PD / F 
h = 3 / -15 h = -0.02 m h = -2 mm 

Since the patient has a right hypertropia, we want to induce a base-down prism effect in the right eye to compensate for it (the image moves toward the apex). 

Remember that a minus lens is shaped like two prisms stacked apex to apex. (picture an hourglass). This means that we want the patient to look through the lower part of the lens. To achieve this, we need to move the optical center of the right lens up by 2 mm.

However, this is not an available answer choice. Another way to achieve the same result is to move the optical center up by 1 mm in the right lens and down by 1 mm in the left lens (choice D). 

This will induce a base-down prism effect in the right eye and a base-up prism effect in the left eye, which will help compensate for the vertical imbalance and correct the diplopia."
Optics (Physiological),Ametropia,"Image Quality, Diffraction",Which phenomenon is MOST likely to be induced when using a miotic agent?,Coma; Spherical Aberration; Diffraction; Polarization,Diffraction,"When a miotic agent is used to constrict the pupil, it decreases the aperture size of the pupil, which can induce diffraction of light passing through the smaller opening. Diffraction is the bending of light waves as they pass around an obstacle, which can cause scattering of light and a decrease in visual acuity.

Coma is an aberration that causes point sources of light to appear distorted or have a comet-like tail. It is usually caused by imperfections in the optical system of the eye or lens.

Spherical aberration is a type of optical aberration that can cause blurred or distorted images due to the imperfect focusing of light by a spherical lens or mirror. 

Polarization is a phenomenon that describes the direction of the electric field in a light wave. It typically refers to the 50% reduction in light intensity, achieved with polarized lenses."
Optics (Geometrical),Ametropia,Refraction at single spherical or plane surfaces,A lens is made of glass with a refractive index of 1.60. What would be the refractive index for the ideal anti-reflection coating to minimize reflection? The refractive index of air is 1.00.,1.00; 1.26; 1.32; 1.60,1.26,"The refractive index of the ideal anti-reflection coating can be calculated using the formula:

 n_coating = sqrt(n_lens x n_air)

where n_lens is the refractive index of the lens material and n_air is the refractive index of air. 

Substituting the given values into this formula, we get:
n_coating = sqrt(1.60 x 1.00) = 1.26."
Optics (Geometrical),Ametropia,Refraction at single spherical or plane surfaces,A point source of light is located 25 cm in front of a single refracting surface with a power of +8.00 D. The surface separates air (n = 1.00) from glass (n = 1.50). What is the vergence of light leaving the surface?,-4.00 D; +4.00 D; +6.00 D; +12.00 D,+4.00 D,"Using the vergence equation L' = L + F, where L is incident vergence, L' is emergent vergence, and F is surface power. First, calculate incident vergence: L = n/l = 1.00/(−0.25 m) = −4.00 D (negative because light is diverging from the object). The surface power is F = +8.00 D. Therefore: L' = −4.00 D + 8.00 D = +4.00 D. The positive vergence indicates converging light after refraction."
Optics (Geometrical),Ametropia,Refraction at single spherical or plane surfaces,A rigid gas permeable contact lens has a base curve radius of 7.80 mm and a total diameter of 9.2 mm. What is the approximate sagittal depth (vault) of this lens?,0.68 mm; 1.36 mm; 1.72 mm; 2.15 mm,1.36 mm,"The sagittal depth (sag) represents the height from the chord of a lens to its curved surface. Using the formula s = r − √(r² − (d/2)²), where r = 7.80 mm and d/2 = 4.6 mm: s = 7.80 − √(60.84 − 21.16) = 7.80 − 6.44 = 1.36 mm."
Optics (Geometrical),Ametropia,Refraction at single spherical or plane surfaces,A point source of light is located 25 cm in front of a single refracting surface with a power of +8.00 D. The surface separates air (n = 1.00) from glass (n = 1.50). What is the vergence of light leaving the surface?,-4.00 D; +4.00 D; +6.00 D; +12.00 D,=+4.00 D,"Using the vergence equation L' = L + F, where L is incident vergence, L' is emergent vergence, and F is surface power. First, calculate incident vergence: L = n/l = 1.00/(−0.25 m) = −4.00 D (negative because light is diverging from the object). The surface power is F = +8.00 D. Therefore: L' = −4.00 D + 8.00 D = +4.00 D. The positive vergence indicates converging light after refraction."
Optics (Geometrical),Ametropia,Refraction at single spherical or plane surfaces,Light travels from crown glass (n = 1.52) into water (n = 1.33). What is the critical angle for total internal reflection at this interface?,41.1°; 61.0°; 75.2°; Total internal reflection cannot occur,61.0°,"Total internal reflection occurs when light travels from a higher to lower refractive index medium. The critical angle is calculated using sin(θc) = n2/n1, where n1 is the incident medium and n2 is the refracted medium. Therefore: sin(θc) = 1.33/1.52 = 0.875, and θc = arcsin(0.875) = 61.0°. At angles greater than 61.0°, all light will be totally internally reflected back into the glass."
Optics (Geometrical),Ametropia,Refraction at single spherical or plane surfaces,"A coin lies at the bottom of a swimming pool that is 2.0 meters deep. When viewed from directly above the water surface, at what apparent depth does the coin appear to be located? (Refractive index of water = 1.33)",1.00 m; 1.50 m; 2.00 m; 2.66 m,1.50 m,"When viewing an object through a plane refracting surface from a less dense medium into a denser medium, the object appears closer than its actual position. The apparent depth formula is: apparent depth = real depth / n, where n is the refractive index of the denser medium. Substituting: apparent depth = 2.0 m / 1.33 = 1.50 m. This occurs because light rays bend away from the normal as they pass from water into air, and the brain interprets these refracted rays as traveling in straight lines."
Optics (Geometrical),Ametropia,Refraction at single spherical or plane surfaces,"In the reduced schematic eye, the nodal point is located approximately 17 mm from the retina. If a distant object subtends a visual angle of 5 degrees at the nodal point, what is the approximate size of the retinal image?",0.74 mm; 1.49 mm; 2.98 mm; 4.25 mm,1.49 mm,"A ray passing through the nodal point emerges undeviated, making it useful for calculating retinal image size. The relationship is: image height = nodal distance × tan(angle). Converting: 5° = 0.0873 radians. For small angles, tan(θ) ≈ θ. Therefore: image height = 17 mm × tan(5°) = 17 mm × 0.0875 = 1.49 mm. This calculation relates visual angle to the physical size of retinal images, which is fundamental for understanding visual acuity."
Optics (Geometrical),Ametropia,Refraction at single spherical or plane surfaces,A ray of light traveling in air strikes a polycarbonate lens (n = 1.586) at an angle of incidence of 35 degrees. What is the angle of refraction as the light enters the lens?,18.2°; 21.2°; 28.4°; 62.3°,21.2°,"Snell's law relates the angles of incidence and refraction to the refractive indices of the two media: n₁ sin(θ₁) = n₂ sin(θ₂). Rearranging to solve for the refracted angle: sin(θ₂) = (n₁/n₂) × sin(θ₁). Substituting values: sin(θ₂) = (1.00/1.586) × sin(35°) = 0.631 × 0.574 = 0.362. Therefore θ₂ = arcsin(0.362) = 21.2°. The ray bends toward the normal when entering a denser medium, resulting in a smaller angle of refraction than the angle of incidence."
Optics (Geometrical),Thin Lenses,Vergence: dioptric and effective power,"A patient's spectacle prescription is −6.00 D. If the lens is moved from a vertex distance of 12 mm to a contact lens position on the cornea, what power contact lens is required to provide equivalent correction?",−5.58 D; −5.79 D; −6.00 D; −6.45 D,−5.58 D,"When a lens is moved closer to the eye, its effective power changes. For minus lenses moved closer, less power is needed. The effective power formula is: Fe = F / (1 − dF), where F is the original lens power and d is the change in distance (in meters). With F = −6.00 D and d = 0.012 m: Fe = −6.00 / (1 − (0.012 × −6.00)) = −6.00 / (1 + 0.072) = −6.00 / 1.072 = −5.60 D. Rounding gives approximately −5.58 D. The contact lens requires less minus power because it sits closer to the eye's focal point."
Optics (Geometrical),Thin Lenses,Object-image relationships,An object 30 mm tall is placed 15 cm in front of a +20.00 D thin lens surrounded by air. Where is the image located and what are its characteristics?,"7.5 cm from lens; real, inverted, 15 mm; 7.5 cm from lens; virtual, erect, 15 mm; 10 cm from lens; real, inverted, 20 mm; 10 cm from lens; virtual, erect, 60 mm","7.5 cm from lens; real, inverted, 15 mm","Using L' = L + F: Object vergence L = 1/(−0.15 m) = −6.67 D. Image vergence L' = −6.67 + 20.00 = +13.33 D. Image distance l' = 1/13.33 = +0.075 m = +7.5 cm. Positive l' indicates the image forms on the opposite side of the lens from the object, meaning it is real. Magnification M = L/L' = −6.67/13.33 = −0.50. The negative magnification indicates the image is inverted; the magnitude less than 1 indicates the image is smaller than the object. Image height = 0.50 × 30 mm = 15 mm."
Optics (Geometrical),Thin Lenses,Lateral and angular magnification,"A patient uses a +10.00 D lens as a simple magnifier, holding the object at the lens's focal point while viewing with relaxed eyes. Assuming a reference near point of 25 cm, what is the effective magnification of this magnifier?",1.5×; 2.0×; 2.5×; 4.0×,2.5×,"For a simple magnifier with the object at the focal point, effective magnification compares the angular size through the magnifier to the angular size at the reference near point. The formula is M = F/4, where F is lens power in diopters and 4 represents 1/0.25 m (the reciprocal of the 25 cm reference distance). Therefore: M = 10.00/4 = 2.5×. This means the object subtends an angle 2.5 times larger when viewed through the magnifier than it would if held at 25 cm without magnification."
Optics (Geometrical),Thin Lenses,Thin lens systems,"Two thin lenses are separated by 25 cm in air. The first lens has a power of +10.00 D and the second lens has a power of +10.00 D. If a real object is placed 20 cm in front of the first lens, where is the final image located relative to the second lens?",10 cm to the right (real); 10 cm to the left (virtual); 5 cm to the right (real); 5 cm to the left (virtual),10 cm to the left (virtual),"Using step-by-step vergence: For lens 1, L₁ = 1/(−0.20 m) = −5.00 D. Image vergence L₁' = −5.00 + 10.00 = +5.00 D. Image distance l₁' = 1/5.00 = +20 cm to the right of lens 1. This intermediate image is 20 cm from lens 1, while lens 2 is 25 cm from lens 1, so the intermediate image is 5 cm to the LEFT of lens 2. For lens 2: L₂ = 1/(−0.05 m) = −20.00 D. L₂' = −20.00 + 10.00 = −10.00 D. Final image distance l₂' = 1/(−10.00) = −0.10 m = −10 cm. The negative sign indicates the final image is 10 cm to the left of lens 2, making it a virtual image."
Optics (Geometrical),Thin Lenses,Prismatic effect (Prentice's rule),"A patient's right spectacle lens has a power of −5.00 D. If the patient looks through a point 8 mm below the optical center, how much prism is induced and in what direction is the base?",4.0Δ base-up; 4.0Δ base-down; 0.4Δ base-up; 0.4Δ base-down,4.0Δ base-down,"Prentice's rule calculates induced prism: P = cF, where c is decentration in centimeters and F is lens power in diopters. Converting 8 mm to centimeters: c = 0.8 cm. Prism power: P = 0.8 × 5.00 = 4.0Δ. For prism direction, light passing through a minus lens is deviated toward the thinnest part (the optical center). When looking below the optical center of a minus lens, the base of the prism effect is in the same direction as the displacement—base-down. Alternatively, minus lenses have their thickest edge peripherally, so looking below center means the thicker portion is below, placing the prism base down."
Optics (Geometrical),Thin Lenses,Prismatic effect (Prentice's rule),A +4.00 D spectacle lens must provide 2Δ base-in prism for the right eye. How far and in which direction must the optical center be decentered from the pupil center?,5 mm nasally; 5 mm temporally; 8 mm nasally; 8 mm temporally,5 mm nasally,"To induce base-in prism on the right eye with a plus lens, the optical center must be displaced nasally. A plus lens has its prism base toward the optical center (the thickest part). Placing the OC nasal to the pupil means the patient looks through the temporal portion of the lens, and the prism base points toward OC (nasally) = base-in. Using Prentice's rule rearranged: c = P/F = 2/4 = 0.5 cm = 5 mm. The optical center must be decentered 5 mm nasally from the pupil center."
Optics (Geometrical),Ametropia,Thin lenses - Ray tracing optical center and optic axis,"An object 20 mm tall is placed 15 cm in front of a +10.00 D thin lens in air. Using ray tracing principles and vergence calculations, what are the location and height of the resulting image?",30 cm behind the lens with image height 40 mm; 20 cm behind the lens with image height 20 mm; 30 cm in front of the lens with image height 40 mm; 6.67 cm in front of the lens with image height 10 mm,30 cm behind the lens with image height 40 mm,"\The object vergence is calculated as L = n/l = 1.00/(−0.15 m) = −6.67 D, with the negative sign indicating light diverging from the object located to the left of the lens. Adding the lens power gives the image vergence: L' = L + F = −6.67 + 10.00 = +3.33 D. The positive image vergence indicates converging light forming a real image. The image distance is found from l' = n'/L' = 1.00/3.33 = +0.30 m = +30 cm. The positive value confirms the image forms to the right of the lens, as expected for a real image. Lateral magnification is M = L/L' = −6.67/3.33 = −2.0. The negative magnification indicates an inverted image, and the absolute value of 2.0 means the image is twice the object size. The image height is therefore 2.0 × 20 mm = 40 mm (with the negative sign indicating inversion). Ray tracing confirms this result. For an object at 1.5f (15 cm with f = 10 cm), the parallel ray refracts through F', the central ray passes undeviated through the optical center, and the focal ray emerges parallel to the axis. These three rays converge at the image location 30 cm behind the lens, forming a real, inverted, magnified image."
Optics (Geometrical),Thick Lenses,Cardinal points,"A thick crown glass lens (n = 1.50) has a front surface power of +15.00 D, a back surface power of +5.00 D, and a center thickness of 20 mm. How far is the secondary principal point (H') located from the back surface of the lens?",3.5 mm in front of the back surface; 10.5 mm in front of the back surface; 3.5 mm behind the back surface; 10.5 mm behind the back surface,10.5 mm in front of the back surface,"The position of the secondary principal point relative to the back surface is given by A₂H' = −(t/n)F₁ / Fₑ. First, the equivalent power must be calculated: Fₑ = F₁ + F₂ − (t/n)F₁F₂. With t/n = 0.02/1.50 = 0.0133 m, the equivalent power is Fₑ = 15 + 5 − (0.0133)(15)(5) = 20 − 1.0 = +19.00 D. The position of H' is then A₂H' = −(0.0133)(15) / 19 = −0.20 / 19 = −0.0105 m = −10.5 mm. The negative sign indicates H' lies 10.5 mm to the left of the back surface, placing it inside the lens."
Optics (Geometrical),Thick Lenses,Vertex power and equivalent power,"A thick biconvex crown glass lens (n = 1.50) has a front surface power of +10.00 D, a back surface power of +5.00 D, and a center thickness of 15 mm. When this lens is placed in a lensometer, what power will be measured?",=+14.50 D; +15.00 D; +15.25 D; +16.10 D,=+16.10 D,"A lensometer measures back vertex power because it sends parallel light into the front of the lens and determines the vergence of light leaving the back surface. The back vertex power formula accounts for how vergence changes as light travels through the lens thickness. Using Fv = F₁ / [1 − (t/n)F₁] + F₂, the reduced thickness is t/n = 0.015/1.50 = 0.01 m. Substituting values: Fv = 10.00 / [1 − (0.01)(10.00)] + 5.00 = 10.00 / 0.90 + 5.00 = 11.11 + 5.00 = +16.11 D, which rounds to +16.10 D. 

The nominal power of +15.00 D (simple sum of surface powers) underestimates the lensometer reading because it ignores vergence gain through the lens. The equivalent power of +14.50 D is measured from the principal planes and differs from back vertex power. The front vertex power of +15.25 D would be measured if parallel light entered the back surface instead."
Optics (Geometrical),Thick Lenses,Lateral (translinear) and angular magnification,"A polycarbonate spectacle lens (n = 1.586) has a back vertex power of +8.00 D, a front surface power of +12.00 D, and a center thickness of 6.0 mm. If the vertex distance is 14 mm, what is the total spectacle magnification?",1.05×; 1.13×; 1.18×; 1.22×,1.18×,"Spectacle magnification for a thick lens equals the product of two factors: the power factor and the shape factor. 

The power factor accounts for magnification due to lens power and vertex distance, calculated as PF = 1/(1 − d·Fv) = 1/(1 − 0.014 × 8.00) = 1/0.888 = 1.126. The shape factor accounts for magnification due to lens form and thickness, calculated as SF = 1/(1 − (t/n)·F₁) = 1/(1 − (0.006/1.586) × 12.00) = 1/(1 − 0.0454) = 1/0.9546 = 1.048. The total spectacle magnification is SM = PF × SF = 1.126 × 1.048 = 1.18×, representing 18% magnification. The power factor contributes more magnification than the shape factor for plus lenses at typical vertex distances. 

The answer 1.13× represents the power factor alone without including shape factor contribution. The answer 1.05× approximates the shape factor alone. The answer 1.22× would result from calculation errors or incorrectly adding factors instead of multiplying them."
